ID,Tittle,ActivityType,Param1,DayIndex,ValueRequired,StatusType,Score,AwardID,AwardCount,Desc
1,逐妖·石墓,sdaFestival,10000301,0,50,0,35,1501121,7,击败猪妖（红野猪、黑野猪）合计50只
2,逐妖·祖玛,sdaFestival,10000302,0,50,0,50,1501121,10,击败祖玛老鼠合计50只
3,挑战副本,sdaFestival,10000318,0,1,0,30,1501029,30,参与魔虫窟或无相秘境玩法1次
4,特权福利,sdaFestival,0,0,1,1,30,1501029,30,玛法特权玩家登陆即可领取
5,九层魔塔,sdaFestival,10000335,0,1,0,30,1501029,30,参与九层魔塔1次
6,逐妖·祖玛,sdaFestival,10000303,1,50,0,50,1501121,10,击败祖玛弓箭手合计50只
7,逐妖·幽冥海,sdaFestival,10000305,1,50,0,60,1501121,12,击败幽冥海一层僵尸怪物（僵尸掷矛手、僵尸剑客、僵尸海盗、僵尸锤兵）合计50只
8,蜘蛛长廊,sdaFestival,10000367,1,1,0,50,1501029,50,挑战1次蜘蛛长廊
9,悬赏任务,sdaFestival,10000342,1,2,0,30,1501029,30,完成任意悬赏（日/周）任务2个
10,九层魔塔,sdaFestival,10000336,1,2,0,30,1501029,30,参与九层魔塔2次
11,逐妖·祖玛,sdaFestival,10000306,2,50,0,50,1501121,10,击败祖玛雕像合计50个
12,逐妖·幽冥海,sdaFestival,10000307,2,50,0,60,1501121,12,击败幽冥海二层鱼人怪物（双刀鱼人、尖刺鱼人、鱼人死士）合计50个
13,逐妖·赤月,sdaFestival,10000308,2,40,0,60,1501121,12,击败赤月蜘蛛怪物合计40只
14,魔幻之旅,sdaFestival,10000338,2,1,0,90,1501029,90,成功挑战通过屠魔大厅/屠魔秘境/魔龙幻境1次
15,九层妖塔,sdaFestival,10000331,2,1,0,30,1501029,30,成功挑战通过九层妖塔或妖塔秘境1次
16,逐妖·祖玛,sdaFestival,10000309,3,50,0,50,1501121,10,击败祖玛卫士合计50个
17,逐妖·赤月,sdaFestival,10000310,3,20,0,60,1501121,12,击败赤月魔穴的血巨人或血僵尸合计20个
18,挑战副本,sdaFestival,10000319,3,2,0,30,1501029,30,参与魔虫窟或无相秘境玩法2次
19,蜘蛛长廊,sdaFestival,10000368,3,2,0,50,1501029,50,挑战2次蜘蛛长廊
20,地脉奔行,sdaFestival,10000362,3,1,0,50,1501029,50,参与地脉奔行玩法1次
21,逐妖·赤月,sdaFestival,10000311,4,40,0,60,1501121,12,击败赤月魔穴的血巨人或血僵尸合计40个
22,魔幻之旅,sdaFestival,10000339,4,2,0,90,1501029,90,成功挑战通过屠魔大厅/屠魔秘境/魔龙幻境2次
23,九层妖塔,sdaFestival,10000332,4,2,0,30,1501029,30,成功挑战通过九层妖塔或妖塔秘境2次
24,特权福利,sdaFestival,0,4,1,1,30,1501029,30,玛法特权玩家登陆即可领取
25,九层魔塔,sdaFestival,10000337,4,3,0,30,1501029,30,参与九层魔塔3次
26,逐妖·幽冥海,sdaFestival,10000316,5,30,0,75,1501121,15,击败幽冥海三层海妖怪物（海妖战士、海妖法师、海妖弓手）合计30个
27,挑战副本,sdaFestival,10000320,5,3,0,30,1501029,30,参与魔虫窟或无相秘境玩法3次
28,悬赏任务,sdaFestival,10000343,5,3,0,30,1501029,30,完成任意悬赏（日/周）任务3个
29,特权福利,sdaFestival,0,5,1,1,30,1501029,30,玛法特权玩家登陆即可领取
30,九层妖塔,sdaFestival,10000333,5,3,0,30,1501029,30,成功挑战通过九层妖塔或妖塔秘境3次
31,逐妖·幽冥海,sdaFestival,10000317,6,50,0,75,1501121,15,击败幽冥海三层海妖怪物（海妖战士、海妖法师、海妖弓手）合计50个
32,悬赏任务,sdaFestival,10000344,6,5,0,30,1501029,30,完成任意悬赏（日/周）任务5个
33,紧急任务,sdaFestival,10000366,6,10,0,30,1501029,30,完成10个紧急任务
34,蜘蛛长廊,sdaFestival,10000369,6,3,0,50,1501029,50,挑战3次蜘蛛长廊
35,魔幻之旅,sdaFestival,10000361,6,3,0,90,1501029,90,成功挑战通过屠魔大厅/屠魔秘境/魔龙幻境3次
36,提升等级,sdaOpenning,0,0,25,0,10,91184,1,提升等级至25
37,组队战斗,sdaOpenning,0,0,1,0,10,80201,1,进行1次组队
38,九层妖塔,sdaOpenning,10000356,0,1,0,10,1370209,1,挑战1次九层妖塔
