DropGroupID,Enabled,Item,Weight,CountMin,CountMax,FitClass
0,0,0,0,0,0,0
301,1,301,1,1,1,63
302,1,302,1,1,1,63
303,1,303,1,1,1,63
304,1,304,1,1,1,63
305,1,305,1,1,1,63
306,1,306,1,1,1,63
307,1,307,1,1,1,63
311,1,311,1,1,1,63
312,1,312,1,1,1,63
321,1,321,1,1,1,63
322,1,322,1,1,1,63
323,1,323,1,1,1,63
324,1,324,1,1,1,63
326,1,326,1,1,1,63
327,1,327,1,1,1,63
331,1,331,1,1,1,63
351,1,351,1,1,1,63
352,1,352,1,1,1,63
353,1,353,1,1,1,63
361,1,361,1,1,1,63
362,1,362,1,1,1,63
363,1,363,1,1,1,63
371,1,371,1,1,1,63
372,1,372,1,1,1,63
373,1,373,1,1,1,63
381,1,381,1,1,1,63
382,1,382,1,1,1,63
383,1,383,1,1,1,63
384,1,90164,1,1,1,63
385,1,90165,1,1,1,63
386,1,90154,1,1,1,63
387,1,90152,1,1,1,63
388,1,90151,1,1,1,63
389,1,90147,1,1,1,63
390,1,90148,1,1,1,63
391,1,90149,1,1,1,63
392,1,90150,1,1,1,63
393,1,393,1,1,1,63
403,1,403,1,1,1,63
412,1,412,1,1,1,63
501,1,501,1,1,1,63
502,1,502,1,1,1,63
601,1,601,1,1,1,63
610,1,610,1,1,1,63
611,1,611,1,1,1,63
612,1,612,1,1,1,63
613,1,613,1,1,1,63
614,1,614,1,1,1,63
615,1,615,1,1,1,63
616,1,616,1,1,1,63
617,1,617,1,1,1,63
618,1,618,1,1,1,63
619,1,619,1,1,1,63
620,1,620,1,1,1,63
621,1,621,1,1,1,63
622,1,622,1,1,1,63
623,1,623,1,1,1,63
624,1,624,1,1,1,63
625,1,625,1,1,1,63
626,1,626,1,1,1,63
627,1,627,1,1,1,63
628,1,628,1,1,1,63
629,1,629,1,1,1,63
630,1,630,1,1,1,63
631,1,631,1,1,1,63
632,1,632,1,1,1,63
633,1,633,1,1,1,63
634,1,634,1,1,1,63
635,1,635,1,1,1,63
636,1,636,1,1,1,63
701,1,701,1,1,1,33
702,1,702,1,1,1,2
703,1,703,1,1,1,16
704,1,704,1,1,1,13
705,1,705,1,1,1,63
706,1,706,1,1,1,63
707,1,707,1,1,1,4
708,1,708,1,1,1,8
801,1,801,1,1,1,2
1201,1,1201,1,1,1,63
2001,1,2001,1,1,1,63
2011,1,2011,1,1,1,63
2012,1,2012,1,1,1,63
2013,1,2013,1,1,1,63
2101,1,2101,1,1,1,63
2102,1,2102,1,1,1,63
2103,1,2103,1,1,1,63
2201,1,2201,1,1,1,63
2211,1,2211,1,1,1,63
2212,1,2212,1,1,1,63
10110,1,10110,1,1,1,16
10111,1,10111,1,1,1,16
10112,1,10112,1,1,1,16
10113,1,10113,1,1,1,16
10114,1,10114,1,1,1,16
10115,1,10115,1,1,1,16
10116,1,10116,1,1,1,16
10117,1,10117,1,1,1,16
10118,1,10118,1,1,1,16
10119,1,10119,1,1,1,16
10120,1,10120,1,1,1,63
10121,1,10121,1,1,1,63
10122,1,10122,1,1,1,63
10123,1,10123,1,1,1,63
10124,1,10124,1,1,1,63
10125,1,10125,1,1,1,63
10126,1,10126,1,1,1,63
10127,1,10127,1,1,1,63
10128,1,10128,1,1,1,63
10129,1,10129,1,1,1,63
10210,1,10210,1,1,1,63
10211,1,10211,1,1,1,63
10212,1,10212,1,1,1,63
10213,1,10213,1,1,1,63
10214,1,10214,1,1,1,63
10215,1,10215,1,1,1,63
10216,1,10216,1,1,1,63
10217,1,10217,1,1,1,63
10218,1,10218,1,1,1,63
10219,1,10219,1,1,1,63
10220,1,10220,1,1,1,63
10221,1,10221,1,1,1,63
10222,1,10222,1,1,1,63
10223,1,10223,1,1,1,63
10224,1,10224,1,1,1,63
10225,1,10225,1,1,1,63
10226,1,10226,1,1,1,63
10227,1,10227,1,1,1,63
10228,1,10228,1,1,1,63
10229,1,10229,1,1,1,63
10310,1,10310,1,1,1,63
10311,1,10311,1,1,1,63
10312,1,10312,1,1,1,63
10313,1,10313,1,1,1,63
10314,1,10314,1,1,1,63
10315,1,10315,1,1,1,63
10316,1,10316,1,1,1,63
10317,1,10317,1,1,1,63
10318,1,10318,1,1,1,63
10319,1,10319,1,1,1,63
10320,1,10320,1,1,1,2
10321,1,10321,1,1,1,2
10322,1,10322,1,1,1,2
10323,1,10323,1,1,1,2
10324,1,10324,1,1,1,2
10325,1,10325,1,1,1,2
10326,1,10326,1,1,1,2
10327,1,10327,1,1,1,2
10328,1,10328,1,1,1,2
10329,1,10329,1,1,1,2
10410,1,10410,1,1,1,63
10411,1,10411,1,1,1,63
10412,1,10412,1,1,1,63
10413,1,10413,1,1,1,63
10414,1,10414,1,1,1,63
10415,1,10415,1,1,1,63
10416,1,10416,1,1,1,63
10417,1,10417,1,1,1,63
10418,1,10418,1,1,1,63
10419,1,10419,1,1,1,63
10420,1,10420,1,1,1,1
10421,1,10421,1,1,1,1
10422,1,10422,1,1,1,1
10423,1,10423,1,1,1,1
10424,1,10424,1,1,1,1
10425,1,10425,1,1,1,1
10426,1,10426,1,1,1,1
10427,1,10427,1,1,1,1
10428,1,10428,1,1,1,1
10429,1,10429,1,1,1,1
10510,1,10510,1,1,1,63
10511,1,10511,1,1,1,63
10512,1,10512,1,1,1,63
10513,1,10513,1,1,1,63
10514,1,10514,1,1,1,63
10515,1,10515,1,1,1,63
10516,1,10516,1,1,1,63
10517,1,10517,1,1,1,63
10518,1,10518,1,1,1,63
10519,1,10519,1,1,1,63
10520,1,10520,1,1,1,63
10521,1,10521,1,1,1,63
10522,1,10522,1,1,1,63
10523,1,10523,1,1,1,63
10524,1,10524,1,1,1,63
10525,1,10525,1,1,1,63
10526,1,10526,1,1,1,63
10527,1,10527,1,1,1,63
10528,1,10528,1,1,1,63
10529,1,10529,1,1,1,63
10900,1,10900,1,1,1,63
10901,1,10901,1,1,1,63
10902,1,10902,1,1,1,63
10903,1,10903,1,1,1,63
10904,1,10904,1,1,1,63
10905,1,10905,1,1,1,63
10906,1,10906,1,1,1,63
10907,1,10907,1,1,1,63
10908,1,10908,1,1,1,63
10909,1,10909,1,1,1,63
10910,1,10910,1,1,1,63
10911,1,10911,1,1,1,63
10912,1,10912,1,1,1,63
10913,1,10913,1,1,1,63
10914,1,10914,1,1,1,63
10915,1,10915,1,1,1,63
10916,1,10916,1,1,1,63
10917,1,10917,1,1,1,63
10918,1,10918,1,1,1,63
10919,1,10919,1,1,1,63
10920,1,10920,1,1,1,63
10921,1,10921,1,1,1,63
10922,1,10922,1,1,1,63
10923,1,10923,1,1,1,63
10924,1,10924,1,1,1,63
10925,1,10925,1,1,1,63
10926,1,10926,1,1,1,63
10927,1,10927,1,1,1,63
10928,1,10928,1,1,1,63
10929,1,10929,1,1,1,63
21001,1,21001,1,1,1,1
21002,1,21002,1,1,1,2
21003,1,21003,1,1,1,16
21004,1,21004,1,1,1,4
21005,1,21005,1,1,1,8
21006,1,21006,1,1,1,32
31031,1,31031,1,1,1,1
31032,1,31032,1,1,1,1
31033,1,31033,1,1,1,1
3103400,1,31034,1,1,1,1
3103401,1,31034,1,1,1,1
3103500,1,31035,1,1,1,1
