QuestID,NpcTemplateID,NpcGroupID,Desc,Icon,BaseClass,SubClass,Name1,KillCount1,AchievementPts1,RewardExp1,AutoTrace1,MinTraceLevel1,MaxTraceLevel1,Hide1,Name2,KillCount2,AchievementPts2,RewardExp2,AutoTrace2,MinTraceLevel2,MaxTraceLevel2,Hide2,Name3,KillCount3,AchievementPts3,RewardExp3,AutoTrace3,MinTraceLevel3,MaxTraceLevel3,Hide3,Name4,KillCount4,AchievementPts4,RewardExp4,AutoTrace4,MinTraceLevel4,MaxTraceLevel4,Hide4,Name5,KillCount5,AchievementPts5,RewardExp5,AutoTrace5,MinTraceLevel5,MaxTraceLevel5,Hide5,Name6,KillCount6,AchievementPts6,RewardExp6,AutoTrace6,MinTraceLevel6,MaxTraceLevel6,Hide6,Name7,KillCount7,AchievementPts7,RewardExp7,AutoTrace7,MinTraceLevel7,MaxTraceLevel7,Hide7,Name8,KillCount8,AchievementPts8,RewardExp8,AutoTrace8,MinTraceLevel8,MaxTraceLevel8,Hide8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10003,在边界村击败%d个稻草人。,img://UI_Achievement.monster.801,3,2,稻草人杀手,10,5,50,0,0,0,0,稻草人猎手,50,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10004,在边界村击败%d个钉耙猫。,img://UI_Achievement.monster.802,3,2,钉耙猫杀手,10,5,80,0,0,0,0,钉耙猫猎手,50,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,10025,在比奇省击败%d个僵尸。,img://UI_Achievement.monster.901,3,3,尸魔猎人,10,10,930,0,0,0,0,尸魔猎手,50,10,2170,0,0,0,0,尸魔宿敌,200,10,3100,0,0,0,0,尸魔克星,1000,30,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,10024,在比奇省击败%d个半兽人或半兽人战士。,img://UI_Achievement.monster.803,3,3,比奇半兽人驱逐者,10,10,140,0,0,0,0,比奇半兽人抗击者,50,10,430,0,0,0,0,比奇半兽人狙击者,200,10,1220,0,0,0,0,比奇半兽人灭绝者,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,10010,在沃玛森林击败%d个熊、鹿或狼。,img://UI_Achievement.monster.3131,3,4,动物杀手,10,10,140,0,0,0,0,动物猎手,50,10,430,0,0,0,0,动物宿敌,200,10,1220,0,0,0,0,动物克星,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,10009,在沃玛森林击败%d个半兽人、半兽人战士或半兽人勇士。,img://UI_Achievement.monster.803,3,4,半兽人杀手,10,10,140,0,0,0,0,半兽人猎手,50,10,430,0,0,0,0,半兽人宿敌,200,10,1220,0,0,0,0,半兽人克星,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,10042,在沃玛森林击败%d个巨力士：虎勇、火舞者或冰刀。,img://UI_Achievement.monster.803,3,4,巨力士征服者,1,20,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,10043,在沃玛森林击败%d个蛮战士：怒号、血角或铜须。,img://UI_Achievement.monster.3126,3,4,蛮战士征服者,1,20,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,10015,在盟重省击败%d个盔甲虫/腐蚀虫/多角虫/巨型多角虫。,img://UI_Achievement.monster.961,3,5,盟重虫族杀手,10,10,190,0,0,0,0,盟重虫族猎手,50,10,580,0,0,0,0,盟重虫族宿敌,200,10,1630,0,0,0,0,盟重虫族克星,1000,30,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
